date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
2005-10-12,4.299283020833333,48,4,156.75175000000002,0.08333333333333333
2005-10-13,3.9998935833333333,48,5,157.7465625,0.10416666666666667
2005-10-14,3.013041041666667,48,19,159.20460416666668,0.3958333333333333
2005-10-15,5.340385958333333,48,12,77.47027083333333,0.25
2005-10-16,8.813257479166667,48,7,34.429625,0.14583333333333334
2005-10-17,9.1923593125,48,15,60.47891666666666,0.3125
2005-10-18,10.980277895833334,48,13,39.88033333333333,0.2708333333333333
2005-10-19,7.6748689375,48,1,63.83133333333333,0.020833333333333332
2005-10-20,2.8095575416666665,48,0,95.841375,0
2005-10-21,2.0667640416666666,48,8,90.4573125,0.16666666666666666
2005-10-22,1.9947910625,48,29,92.11664583333334,0.6041666666666666
2005-10-23,-0.71432525,48,0,10.0101875,0
2005-10-24,1.603449875,48,4,72.2229375,0.08333333333333333
2005-10-25,1.8809321041666667,48,30,84.61277083333333,0.625
2005-10-26,2.1560994583333333,48,18,106.74139583333333,0.375
2005-10-27,-0.061207812500000014,48,5,130.2654375,0.10416666666666667
2005-10-28,1.560971625,48,1,131.05166666666668,0.020833333333333332
2005-10-29,1.9119176041666666,48,4,123.78858333333334,0.08333333333333333
2005-10-30,2.3848302083333333,48,0,123.69922916666667,0
2005-10-31,2.03958125,48,3,92.29752083333334,0.0625
2005-11-01,1.3445290833333334,48,2,50.903375,0.041666666666666664
2005-11-02,-0.07308085416666667,48,7,68.5628125,0.14583333333333334
2005-11-03,-0.7450647083333334,48,6,108.53552083333334,0.125
2005-11-04,-1.0388359791666668,48,10,45.287104166666666,0.20833333333333334
2005-11-05,1.5866101875,48,4,32.55464583333333,0.08333333333333333
2005-11-06,3.593344666666667,48,6,57.0650625,0.125
2005-11-07,1.2478323541666667,48,10,60.463208333333334,0.20833333333333334
2005-11-08,-0.35869281249999996,48,0,88.883625,0
2005-11-09,-2.4011222083333332,48,4,93.1409375,0.08333333333333333
2005-11-10,-2.1078577708333333,48,0,47.95775,0
2005-11-11,-2.464832125,48,0,23.941458333333333,0
2005-11-12,-2.732636,48,9,90.38333333333334,0.1875
2005-11-13,3.2781275,48,7,61.807229166666666,0.14583333333333334
2005-11-14,8.250982916666667,48,12,11.812270833333333,0.25
2005-11-15,2.53939775,48,19,71.10425000000001,0.3958333333333333
2005-11-16,1.2301016666666666,48,14,35.35225,0.2916666666666667
2005-11-17,3.7142722083333335,48,15,95.901,0.3125
2005-11-18,2.6779960833333334,48,13,81.62585416666667,0.2708333333333333
2005-11-19,1.76998775,48,33,92.10733333333333,0.6875
2005-11-20,2.1801785625,48,9,79.17475,0.1875
2005-11-21,1.300807875,48,0,24.61702083333333,0
2005-11-22,1.814306375,48,34,50.181041666666665,0.7083333333333334
2005-11-23,3.0480252083333332,48,27,49.65377083333333,0.5625
2005-11-24,2.1541175833333335,48,30,81.27460416666666,0.625
2005-11-25,2.2034828541666664,48,13,55.808729166666666,0.2708333333333333
2005-11-26,3.8773225,48,1,74.70954166666667,0.020833333333333332
2005-11-27,3.6422800833333335,48,0,54.96264583333333,0
2005-11-28,4.79440375,48,1,10.7455,0.020833333333333332
2005-11-29,3.8578479375,48,0,30.854916666666664,0
2005-11-30,4.3501525,48,0,14.708166666666667,0
2005-12-01,2.5612304166666666,48,4,23.876270833333333,0.08333333333333333
2005-12-02,3.2923293333333334,48,2,52.41645833333333,0.041666666666666664
2005-12-03,2.5075703958333335,48,6,17.8615625,0.125
2005-12-04,0.1423796041666667,48,14,9.393833333333333,0.2916666666666667
2005-12-05,-0.11567522916666666,48,13,35.87708333333333,0.2708333333333333
2005-12-06,1.5190765208333332,48,5,54.346333333333334,0.10416666666666667
2005-12-07,2.1281639583333334,48,1,6.0460416666666665,0.020833333333333332
2005-12-08,1.6006316458333334,48,3,5.576145833333333,0.0625
2005-12-09,2.9792407708333335,48,26,41.630875,0.5416666666666666
2005-12-10,1.7223247083333333,48,26,15.268958333333334,0.5416666666666666
2005-12-11,2.2915783125,48,40,34.78575,0.8333333333333334
2005-12-12,0.892973375,48,13,65.00383333333333,0.2708333333333333
2005-12-13,1.0094414583333333,48,22,20.2495,0.4583333333333333
2005-12-14,1.2479722708333334,48,9,15.301125,0.1875
2005-12-15,1.1097656041666666,48,8,71.48691666666667,0.16666666666666666
2005-12-16,0.31965122916666666,48,10,1.5344375,0.20833333333333334
2005-12-17,2.003437583333333,48,1,6.7944375,0.020833333333333332
2005-12-18,1.7833556458333333,48,8,26.647958333333335,0.16666666666666666
2005-12-19,0.2715993333333333,48,9,25.75625,0.1875
2005-12-20,1.1577739166666667,48,1,19.6025,0.020833333333333332
2005-12-21,1.9998860208333333,48,9,10.564979166666667,0.1875
2005-12-22,1.5838825208333334,48,5,28.92385416666667,0.10416666666666667
2005-12-23,-3.3444262916666667,48,2,27.402583333333332,0.041666666666666664
2005-12-24,-0.8656494791666667,48,0,21.461833333333335,0
2005-12-25,1.3669837916666667,48,0,10.923125,0
2005-12-26,5.727703125,48,1,12.435041666666667,0.020833333333333332
2005-12-27,4.104777875,48,1,22.82239583333333,0.020833333333333332
2005-12-28,-2.24272825,48,12,26.03725,0.25
2005-12-29,-1.6629071875,48,0,15.686166666666667,0
2005-12-30,0.2936823541666667,48,0,73.4981875,0
2005-12-31,0.2996687291666667,48,0,27.581583333333334,0
2006-01-01,2.1386189375,48,0,42.76552083333333,0
2006-01-02,1.9614272291666666,48,0,26.699791666666666,0
2006-01-03,1.6419347083333333,48,7,45.35058333333333,0.14583333333333334
2006-01-04,1.8282160208333333,48,32,21.98154166666667,0.6666666666666666
2006-01-05,1.52451125,48,27,69.20095833333333,0.5625
2006-01-06,-0.8133800208333334,48,11,19.981958333333335,0.22916666666666666
2006-01-07,2.415594479166667,48,0,24.510916666666667,0
2006-01-08,5.1252373125,48,0,33.046875,0
2006-01-09,6.258507083333333,48,0,29.174229166666667,0
2006-01-10,8.106196041666667,48,0,43.4915625,0
2006-01-11,9.027884791666667,48,0,72.2019375,0
2006-01-12,9.349160333333334,48,8,58.581854166666666,0.16666666666666666
2006-01-13,9.169452125,48,0,71.03652083333333,0
2006-01-14,8.607079604166666,48,0,43.593895833333335,0
2006-01-15,8.539988541666666,48,0,62.6226875,0
2006-01-16,7.074160395833333,48,2,86.0284375,0.041666666666666664
2006-01-17,9.038320416666666,48,2,7.1933125,0.041666666666666664
2006-01-18,11.531287916666667,48,1,3.1602916666666667,0.020833333333333332
2006-01-19,8.634232916666667,48,0,28.376625,0
2006-01-20,5.999156875,48,5,20.238166666666668,0.10416666666666667
2006-01-21,5.380570625,48,15,78.06233333333333,0.3125
2006-01-22,2.8646383541666665,48,15,45.68239583333333,0.3125
2006-01-23,-0.1416645,48,15,73.16629166666667,0.3125
2006-01-24,1.5592944375,48,9,27.76625,0.1875
2006-01-25,-0.02018585416666666,48,7,47.240854166666665,0.14583333333333334
2006-01-26,0.8095190833333333,48,7,42.28510416666667,0.14583333333333334
2006-01-27,0.6978325208333334,48,20,48.49479166666667,0.4166666666666667
2006-01-28,-3.3278434791666665,48,5,67.809125,0.10416666666666667
2006-01-29,2.3456361875,48,23,71.7248125,0.4791666666666667
2006-01-30,3.913909416666667,48,24,99.044625,0.5
2006-01-31,1.273214375,48,10,98.946,0.20833333333333334
2006-02-01,1.2973445625,48,2,102.35852083333333,0.041666666666666664
2006-02-02,2.7863750625,48,10,114.88368750000001,0.20833333333333334
2006-02-03,4.543009208333333,48,1,63.463458333333335,0.020833333333333332
2006-02-04,9.885698958333334,48,9,27.210229166666664,0.1875
2006-02-05,5.809971375,48,7,54.9371875,0.14583333333333334
2006-02-06,1.4100127708333332,48,4,68.41891666666666,0.08333333333333333
2006-02-07,-0.2544387083333333,48,7,17.533604166666667,0.14583333333333334
2006-02-08,-1.6762603125,48,7,11.342104166666667,0.14583333333333334
